id,posto_id,tipo,valor,created_at,updated_at
382,90,GASOLINA COMUM,"R$ 3,99",2020-05-21 18:00:32+00,2020-06-11 00:11:56+00
380,66,GASOLINA COMUM,"R$ 4,23",2020-05-20 15:00:32+00,2020-07-05 00:12:00+00
20,20,GASOLINA ADITIVADA,"R$ 4,20",2020-05-15 06:06:15+00,2020-07-07 00:11:57+00
606,200,ETANOL,"R$ 2,96",2020-05-28 02:43:29+00,2020-05-28 02:43:29+00
190,72,OLEO DIESEL B S10 BICO,"R$ 3,25",2020-05-13 09:07:14+00,2020-07-13 00:31:50+00
753,62,OLEO DIESEL B S500 BICO,"R$ 3,25",2020-05-29 15:31:55+00,2020-07-13 00:31:50+00
849,257,DIESEL B S10 COMUM,"R$ 3,25",2020-06-04 19:28:34+00,2020-06-27 05:36:20+00
216,49,DIESEL S10 BICO,"R$ 3,27",2020-05-14 09:07:14+00,2020-07-13 00:31:50+00
743,231,GNV,"R$ 2,99",2020-05-28 09:17:48+00,2020-06-30 14:00:10+00
1026,134,OLEO DIESEL B S500 ADITIVADO,"R$ 2,88",2020-06-10 00:56:48+00,2020-06-12 10:16:49+00
741,230,GNV,"R$ 2,99",2020-05-28 09:17:48+00,2020-06-30 14:00:10+00
682,212,ETANOL,"R$ 3,29",2020-05-28 16:20:51+00,2020-06-15 10:46:47+00
748,233,GNV,"R$ 3,00",2020-05-28 09:17:48+00,2020-06-30 14:00:10+00
747,175,GNV,"R$ 3,09",2020-05-28 09:17:48+00,2020-06-30 14:00:10+00
851,262,DIESEL S,"R$ 3,30",2020-06-04 16:28:34+00,2020-06-27 05:36:20+00
1029,236,GASOLINA COMUM,"R$ 4,23",2020-06-10 06:11:56+00,2020-07-07 00:11:58+00
776,243,ETANOL,"R$ 3,29",2020-06-01 22:22:57+00,2020-06-19 10:46:48+00
803,109,ETANOL,"R$ 3,29",2020-06-02 09:46:49+00,2020-06-19 10:46:48+00
38,38,GASOLINA ADITIVADA,"R$ 3,96",2020-05-15 18:06:15+00,2020-06-02 12:11:57+00
319,78,GASOLINA COMUM,"R$ 4,23",2020-05-15 00:17:23+00,2020-07-13 00:11:53+00
300,48,GASOLINA COMUM,"R$ 4,23",2020-05-15 15:17:23+00,2020-07-04 00:12:07+00
401,100,DIESEL COMUM,"R$ 2,99",2020-05-21 18:31:00+00,2020-06-27 10:16:50+00
251,73,OLEO DIESEL B S,"R$ 3,10",2020-05-15 15:07:15+00,2020-06-28 00:32:04+00
812,170,ETANOL,"R$ 3,19",2020-06-03 09:47:08+00,2020-06-19 10:46:47+00
1126,306,ETANOL,"R$ 2,69",2020-06-15 12:13:15+00,2020-07-01 05:16:16+00
871,274,OLEO DIESEL B S,"R$ 3,04",2020-06-04 12:05:33+00,2020-07-08 03:05:36+00
234,28,DIESEL S10 BICO,"R$ 2,74",2020-05-15 18:07:15+00,2020-05-15 18:07:15+00
873,274,OLEO DIESEL BS,"R$ 3,14",2020-06-04 12:05:33+00,2020-07-08 03:05:36+00
857,263,DIESEL B S,"R$ 3,69",2020-06-04 16:28:34+00,2020-06-27 05:36:20+00
835,256,ETANOL,"R$ 3,40",2020-06-04 19:26:16+00,2020-06-27 05:46:18+00
838,259,ETANOL,"R$ 3,40",2020-06-04 19:26:16+00,2020-06-27 05:46:18+00
1027,134,OLEO DIESEL S,"R$ 2,92",2020-06-10 00:56:48+00,2020-06-10 00:56:48+00
153,89,ETANOL,"R$ 3,19",2020-05-13 12:06:30+00,2020-07-13 00:21:49+00
313,67,GASOLINA COMUM,"R$ 4,18",2020-05-13 09:17:23+00,2020-07-12 05:04:25+00
274,40,GASOLINA COMUM,"R$ 4,23",2020-05-15 15:17:23+00,2020-07-01 00:12:06+00
474,166,DIESEL B S,"R$ 2,99",2020-05-21 18:31:01+00,2020-06-27 10:16:50+00
653,191,ETANOL,"R$ 3,26",2020-05-28 13:20:51+00,2020-06-19 10:46:47+00
840,261,ETANOL,"R$ 3,46",2020-06-04 19:26:16+00,2020-06-27 05:46:18+00
842,264,ETANOL,"R$ 3,60",2020-06-04 19:26:16+00,2020-06-27 05:46:18+00
292,49,GASOLINA COMUM,"R$ 4,23",2020-05-15 06:17:23+00,2020-07-08 00:11:56+00
1085,316,GASOLINA ADITIVADA,"R$ 4,19",2020-06-10 18:51:41+00,2020-07-12 03:51:24+00
965,288,GASOLINA COMUM,"R$ 4,20",2020-06-03 18:51:23+00,2020-07-12 03:51:24+00
966,289,GASOLINA ADITIVADA,"R$ 4,24",2020-06-02 09:51:24+00,2020-07-12 03:51:24+00
405,104,OLEO DIESEL B S,"R$ 3,09",2020-05-21 18:31:00+00,2020-06-27 10:16:50+00
977,300,GASOLINA COMUM,"R$ 4,20",2020-06-04 02:04:29+00,2020-07-12 05:04:25+00
330,37,OLEO DIESEL BICO,"R$ 2,66",2020-05-17 20:25:20+00,2020-05-29 12:31:54+00
674,208,ETANOL,"R$ 3,26",2020-05-28 13:20:51+00,2020-06-19 10:46:47+00
761,62,OLEO DIESEL B S10 BICO,"R$ 2,94",2020-06-02 00:32:00+00,2020-06-02 00:32:00+00
819,255,GASOLINA COMUM,"R$ 4,40",2020-06-04 19:21:44+00,2020-06-27 05:56:26+00
779,245,ETANOL,"R$ 3,29",2020-06-01 22:22:57+00,2020-06-19 10:46:48+00
820,256,GASOLINA COMUM,"R$ 4,43",2020-06-04 19:21:44+00,2020-06-27 05:56:26+00
329,25,OLEO DIESEL BICO,"R$ 2,66",2020-05-17 20:25:20+00,2020-05-29 12:31:54+00
823,258,GASOLINA ADITIVADA,"R$ 4,48",2020-06-04 19:21:44+00,2020-06-27 05:56:27+00
312,75,GASOLINA COMUM,"R$ 4,23",2020-05-14 06:17:23+00,2020-07-12 05:04:25+00
827,262,GASOLINA COMUM,"R$ 4,50",2020-06-04 19:21:44+00,2020-06-27 05:56:27+00
830,263,GASOLINA COMUM,"R$ 4,56",2020-06-04 19:21:45+00,2020-06-27 05:56:27+00
437,135,DIESEL S,"R$ 3,09",2020-05-21 18:31:00+00,2020-06-27 10:16:51+00
404,103,DIESEL BS,"R$ 3,09",2020-05-21 18:31:00+00,2020-06-27 10:16:51+00
450,144,OLEO DIESEL S10 BICO,"R$ 2,89",2020-05-21 21:31:01+00,2020-06-15 10:16:49+00
647,127,ETANOL,"R$ 3,26",2020-05-28 13:20:51+00,2020-06-19 10:46:47+00
909,271,GASOLINA COMUM,"R$ 4,26",2020-06-02 18:21:37+00,2020-07-12 05:04:25+00
476,168,DIESEL S,"R$ 2,99",2020-05-21 21:31:01+00,2020-06-15 10:16:49+00
773,230,ETANOL,"R$ 3,29",2020-06-01 22:22:57+00,2020-06-19 10:46:48+00
360,87,GASOLINA COMUM,"R$ 4,20",2020-05-19 12:38:33+00,2020-07-13 00:11:52+00
831,263,GASOLINA ADITIVADA,"R$ 4,56",2020-06-04 19:21:45+00,2020-06-27 05:56:27+00
266,19,GASOLINA COMUM,"R$ 4,20",2020-05-13 15:17:23+00,2020-07-13 00:11:53+00
291,37,GASOLINA COMUM,"R$ 3,99",2020-05-15 18:17:23+00,2020-06-11 00:11:56+00
675,209,ETANOL,"R$ 3,29",2020-05-28 16:20:51+00,2020-06-15 10:46:47+00
67,10,ETANOL,"R$ 3,20",2020-05-13 12:06:29+00,2020-07-13 00:21:49+00
