id,nome,endereco,contato,status,cidade,latitude,longitude,url,bandeira,created_at,updated_at
53,POSTO PAU DE LEGUA,"RODOVIA BA 502 KM 02 HUMILDES (FEIRA DE SANTANA) 44135000, FEIRA DE SANTANA",7536223666,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.3095762,-38.9618149,https://goo.gl/maps/BjfzSHPQ1XSNx8Hp9,outros,2020-05-15 18:06:15+00,2020-05-18 19:24:31+00
54,POSTO NORDESTE,"PRACA DA REPUBLICA S/N CENTRO 44001784, FEIRA DE SANTANA",7530213030,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2598066,-38.9679612,https://goo.gl/maps/DNouYXEkJDtiaLrA6,outros,2020-05-15 18:06:15+00,2020-05-18 19:25:43+00
55,POSTO DA NOIDE,"AVENIDA NOIDE FERREIRA DE CERQUEIRA 6791 SIM 44085052, FEIRA DE SANTANA",7536169361,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2558734,-38.9233293,https://goo.gl/maps/rSg6jr6qHUhdPMm58,ipiranga,2020-05-15 18:06:15+00,2020-05-18 19:28:18+00
56,Posto Andressa,"AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO 3797 CASEB 44052064, FEIRA DE SANTANA",7591156372,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2380527,-38.9465643,https://goo.gl/maps/e69b9mPyWR715x3B9,ipiranga,2020-05-15 18:06:15+00,2020-05-18 19:33:08+00
57,J MARTINS DERIVADOS DE PETROLEO LTDA,"RUA EDUARDO FROES DA MATA 1197 SANTA MONICA 44078015, FEIRA DE SANTANA",7536251178,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,,,,,2020-05-15 18:06:15+00,2020-05-18 19:37:24+00
58,REDE ATENDBEM,"AVENIDA CANAL 147 CENTRO 44002448, FEIRA DE SANTANA",7536169361,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2546084,-38.9734062,https://goo.gl/maps/u1jVaUY9ccVkuShL9,ipiranga,2020-05-15 18:06:15+00,2020-05-18 19:39:06+00
59,AUTO POSTO MODELO,"RUA VISCONDE DO RIO BRANCO 18 CENTRO 44002175, FEIRA DE SANTANA",7536233366,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2547349,-38.9644925,https://goo.gl/maps/14HoLSBdXiYtPxJv7,petrobras,2020-05-15 18:06:16+00,2020-05-18 19:40:15+00
61,POSTO IDEAL,"RUA VISCONDE DO RIO BRANCO 1012 QUEIMADINHA 44050002, FEIRA DE SANTANA",7532216662,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2461587,-38.9641372,https://goo.gl/maps/rUJsyNssYeQidWwJ6,petrobras,2020-05-15 18:06:16+00,2020-05-18 19:42:47+00
62,POSTO CAJUEIRO,"AVENIDA PRESIDENTE DUTRA- DE 1180 AO FIM - LADO PAR 003300 CAPUCHINHOS 44052000, FEIRA DE SANTANA",7536259322,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2702249,-38.9400063,https://goo.gl/maps/ZL7gD9TcoU2SU5dp8,petrobras,2020-05-15 18:06:16+00,2020-05-18 19:43:50+00
63,POSTO ARTEMIA,"AVENIDA ARTEMIA PIRES FREITAS S/N SIM 44085370, FEIRA DE SANTANA",7532250745,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2461463,-38.9091657,https://goo.gl/maps/qqHpyjwW2t1z3C3g8,shell,2020-05-15 18:06:16+00,2020-05-18 19:45:31+00
68,SANTA MARIA - COMERCIAL DE COMBUSTIVEIS LTDA,"RUA PRIMAVERA 362 PAMPALONA 44031090, FEIRA DE SANTANA",7532234040,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2256509,-38.982011,https://goo.gl/maps/wpKn6GRdsKfa65ge6,outros,2020-05-15 18:06:30+00,2020-05-18 19:57:33+00
